. ,FLAG_NM,CRTFC_NO_CN,AREA_NM,SAFE_CNSDR_ACT_AT,FULL_AGE9_12_TRGET_NMPR_CN,FULL_AGE13_15_TRGET_NMPR_CN,FULL_AGE16_18_TRGET_NMPR_CN,FULL_AGE19_24_TRGET_NMPR_CN,TRGET_AGE_ETC_NMPR_CN,TOT_TRGET_NMPR_CN,PROGRM_NM,INSTT_NM,VALID_PD_BEGIN_DE,VALID_PD_END_DE,OPER_STATE_NM,ADDR
4049,활동,1138D07A-06510,대전광역시,N,220명,0명,0명,0명,0명,220명,야단법석Ⅰ캠프(초등학교 1박 2일),대전동구청소년자연수련원,20170405,20210404,종료,대전 동구 상소동 375-1
4050,활동,0707A09A-06489,경기도,N,150명,0명,0명,0명,0명,150명,"친환경체험나들이(당일, 초등학교)",경기도청소년야영장,20170405,20210404,종료,경기 광주시 퇴촌면 우산리 388-3
4051,활동,0946D07C-06460,경기도,N,0명,0명,461명,0명,0명,461명,오늘은 休요일(2박3일 고등학교 A형),경기도청소년수련원,20170405,20210404,종료,경기도 안산시 단원구 선감로 255 (선감동) 경기도청소년수련원
4052,활동,0929A06F-06514,인천광역시,N,0명,8명,12명,0명,0명,20명,청소년 Talk방,가정청소년문화의집,20170405,20210404,종료,인천광역시 서구 서달로 190(가정동) 가정청소년문화의집
4053,활동,4429A04A-06512,인천광역시,Y,100명,0명,0명,0명,0명,100명,해양안전! 해야안전!,(주) 코마린 청라지점,20170405,20210404,종료,인천광역시 서구 청라대로 46 (경서동) 피노키오 선착장(호수공원 내)
4054,활동,3236D07B-06508,경상북도,N,0명,170명,0명,0명,0명,170명,[소통 사이다 (중학교 2박3일 관계향상캠프)],안동시청소년수련원,20170405,20210404,종료,경상북도 안동시 남후면 아곡길 971 안동시청소년수련원
4055,활동,4450D07B-06531,제주특별자치도,N,0명,300명,0명,0명,0명,300명,"나눔과 배려 우리는 하나(1박2일,중학교)",제주청소년수련원,20170405,20210404,종료,제주특별자치도 제주시 한림읍 금능남로 128 제주청소년수련원
4056,활동,4450D07A-06532,제주특별자치도,N,300명,0명,0명,0명,0명,300명,"너와 나 우리 u&i = we(1박2일,초등학교)",제주청소년수련원,20170405,20210404,종료,제주특별자치도 제주시 한림읍 금능남로 128 제주청소년수련원
4057,활동,0707D04A-06488,경기도,N,300명,0명,0명,0명,0명,300명,창의지성역량 개발을 위한 학교연계 초등학교 1박2일 과정,경기도청소년야영장,20170405,20210404,종료,경기 광주시 퇴촌면 우산리 388-3
4058,활동,0829D07C-06524,전라북도,Y,0명,0명,150명,0명,0명,150명,소통의 리더쉽 (1박2일 고등학생),진실되게 하는 지리산유스캠프,20170405,20210404,종료,전북 남원시 주천면 송치리 49-14 지리산유스호스텔
4059,활동,0829D07C-06525,전라북도,Y,0명,0명,500명,0명,0명,500명,"함께하는 ""WITH U"" (고등학교 2박3일)",진실되게 하는 지리산유스캠프,20170405,20210404,종료,전북 남원시 주천면 송치리 49-14 지리산유스호스텔
4060,활동,0829D07B-06526,전라북도,Y,0명,500명,0명,0명,0명,500명,"함께하는 ""WITH U"" (중학교 2박3일)",진실되게 하는 지리산유스캠프,20170405,20210404,종료,전북 남원시 주천면 송치리 49-14 지리산유스호스텔
4061,활동,0707D04C-06485,경기도,N,0명,0명,600명,0명,0명,600명,창의지성역량 개발을 위한 학교연계 고등학교 2박3일 과정,경기도청소년야영장,20170405,20210404,종료,경기 광주시 퇴촌면 우산리 388-3
4062,활동,3679A04A-06466,경기도,Y,40명,0명,0명,0명,0명,40명,숲 속의 모험,짚라인용인,20170405,20210404,종료,경기도 용인시 처인구 모현면 초부리 220 용인자연휴양림 內 짚라인용인
4063,활동,0362A06F-06471,충청남도,N,0명,5명,5명,0명,0명,10명,종이로 피운 사랑의 카네이션,보령시청소년문화의집,20170405,20210404,종료,충남 보령시 대천동 618-22
